channel_name,date,cost,ihc,ihc_revenue,CPO,ROAS
Affiliate & Partnerships,2023-08-29,525.36,0.0,0.0,0.0,0.0
Affiliate & Partnerships,2023-08-30,574.64,0.0,0.0,0.0,0.0
Affiliate & Partnerships,2023-08-31,572.77,0.497,20.085,1152.455,0.035
Affiliate & Partnerships,2023-09-01,413.2,13.29,630.19,31.091,1.525
Affiliate & Partnerships,2023-09-02,395.71,6.163,304.572,64.207,0.77
Affiliate & Partnerships,2023-09-03,430.72,9.509,455.855,45.296,1.058
Affiliate & Partnerships,2023-09-04,602.51,15.0,733.49,40.167,1.217
Affiliate & Partnerships,2023-09-05,218.93,9.0,438.02,24.326,2.001
Affiliate & Partnerships,2023-09-06,190.41,10.0,385.46,19.041,2.024
Affiliate & Partnerships,2023-09-07,209.49,10.0,577.7,20.949,2.758
Direct Traffic,2023-08-29,0.85,6.714,386.527,0.127,454.738
Direct Traffic,2023-08-30,6.84,8.031,587.16,0.852,85.842
Direct Traffic,2023-08-31,3.66,12.516,631.309,0.292,172.489
Direct Traffic,2023-09-01,3.6,88.976,5636.244,0.04,1565.623
Direct Traffic,2023-09-02,4.76,87.188,6327.661,0.055,1329.341
Direct Traffic,2023-09-03,1.35,97.974,5796.635,0.014,4293.804
Direct Traffic,2023-09-04,7.97,115.267,9270.265,0.069,1163.145
Direct Traffic,2023-09-05,4.61,59.627,4264.563,0.077,925.068
Direct Traffic,2023-09-06,0.0,49.468,2657.352,0.0,0.0
Direct Traffic,2023-09-07,2.56,42.78,2597.66,0.06,1014.711
FB & IG Ads,2023-08-29,10302.8,2.297,159.546,4485.329,0.015
FB & IG Ads,2023-08-30,10348.76,0.146,11.408,70881.918,0.001
FB & IG Ads,2023-08-31,10311.62,1.866,28.074,5526.056,0.003
FB & IG Ads,2023-09-01,10150.07,28.219,1392.018,359.689,0.137
FB & IG Ads,2023-09-02,10467.04,31.161,1514.424,335.902,0.145
FB & IG Ads,2023-09-03,11424.59,33.112,1203.489,345.029,0.105
FB & IG Ads,2023-09-04,10499.18,28.656,823.44,366.387,0.078
FB & IG Ads,2023-09-05,8227.97,18.324,442.293,449.027,0.054
FB & IG Ads,2023-09-06,8299.71,26.262,902.1,316.035,0.109
FB & IG Ads,2023-09-07,8066.88,18.957,464.356,425.536,0.058
Lead Generation,2023-08-29,1233.36,0.0,0.0,0.0,0.0
Lead Generation,2023-08-30,1202.18,0.0,0.0,0.0,0.0
Lead Generation,2023-08-31,1203.17,0.0,0.0,0.0,0.0
Lead Generation,2023-09-01,1189.58,0.0,0.0,0.0,0.0
Lead Generation,2023-09-02,1201.28,0.0,0.0,0.0,0.0
Lead Generation,2023-09-03,1256.21,0.0,0.0,0.0,0.0
Lead Generation,2023-09-04,1311.55,0.0,0.0,0.0,0.0
Lead Generation,2023-09-05,945.61,0.0,0.0,0.0,0.0
Lead Generation,2023-09-06,388.14,0.0,0.0,0.0,0.0
Lead Generation,2023-09-07,173.98,0.0,0.0,0.0,0.0
Microsoft Ads,2023-08-29,206.2,0.0,0.0,0.0,0.0
Microsoft Ads,2023-08-30,218.84,0.0,0.0,0.0,0.0
Microsoft Ads,2023-08-31,194.87,1.0,22.68,194.87,0.116
Microsoft Ads,2023-09-01,166.83,0.0,0.0,0.0,0.0
Microsoft Ads,2023-09-02,116.51,7.0,572.49,16.644,4.914
Microsoft Ads,2023-09-03,142.84,1.0,118.33,142.84,0.828
Microsoft Ads,2023-09-04,176.46,6.0,417.5,29.41,2.366
Microsoft Ads,2023-09-05,140.3,3.0,99.52,46.767,0.709
Microsoft Ads,2023-09-06,174.95,1.0,129.4,174.95,0.74
Microsoft Ads,2023-09-07,141.93,3.0,130.47,47.31,0.919
Newsletter & Email,2023-08-29,0.0,6.158,443.863,0.0,0.0
Newsletter & Email,2023-08-30,0.0,1.978,183.667,0.0,0.0
Newsletter & Email,2023-08-31,0.0,38.792,2695.843,0.0,0.0
Newsletter & Email,2023-09-01,0.0,72.749,4549.148,0.0,0.0
Newsletter & Email,2023-09-02,0.0,59.513,4572.426,0.0,0.0
Newsletter & Email,2023-09-03,0.0,63.989,4937.203,0.0,0.0
Newsletter & Email,2023-09-04,0.0,226.288,16133.353,0.0,0.0
Newsletter & Email,2023-09-05,0.0,36.164,2018.454,0.0,0.0
Newsletter & Email,2023-09-06,0.0,33.783,1815.211,0.0,0.0
Newsletter & Email,2023-09-07,0.0,74.079,4990.287,0.0,0.0
Organic Traffic,2023-08-29,1.16,2.0,149.91,0.58,129.233
Organic Traffic,2023-08-30,0.07,9.0,768.13,0.008,10973.286
Organic Traffic,2023-08-31,0.0,7.001,389.117,0.0,0.0
Organic Traffic,2023-09-01,1.57,26.0,1447.741,0.06,922.128
Organic Traffic,2023-09-02,4.68,34.513,2010.073,0.136,429.503
Organic Traffic,2023-09-03,0.88,35.486,2008.198,0.025,2282.043
Organic Traffic,2023-09-04,7.21,34.993,1969.814,0.206,273.206
Organic Traffic,2023-09-05,1.21,48.507,2563.306,0.025,2118.435
Organic Traffic,2023-09-06,1.62,33.518,2117.344,0.048,1307.002
Organic Traffic,2023-09-07,0.45,18.49,1103.421,0.024,2452.047
Paid Search Brand,2023-08-29,2112.75,4.016,269.876,526.083,0.128
Paid Search Brand,2023-08-30,1815.98,3.517,229.052,516.343,0.126
Paid Search Brand,2023-08-31,1804.36,9.61,697.571,187.759,0.387
Paid Search Brand,2023-09-01,1680.26,52.572,3044.279,31.961,1.812
Paid Search Brand,2023-09-02,1730.94,37.912,2347.714,45.657,1.356
Paid Search Brand,2023-09-03,1983.18,71.465,5427.874,27.75,2.737
Paid Search Brand,2023-09-04,1905.91,67.907,4136.54,28.066,2.17
Paid Search Brand,2023-09-05,1322.76,33.694,2191.306,39.258,1.657
Paid Search Brand,2023-09-06,1487.92,37.85,2789.928,39.311,1.875
Paid Search Brand,2023-09-07,1456.53,53.457,3337.971,27.247,2.292
Paid Search Non Brand,2023-08-29,2069.84,3.517,217.265,588.524,0.105
Paid Search Non Brand,2023-08-30,1967.28,0.483,12.575,4073.043,0.006
Paid Search Non Brand,2023-08-31,2069.08,2.519,144.051,821.389,0.07
Paid Search Non Brand,2023-09-01,1678.48,4.481,248.709,374.577,0.148
Paid Search Non Brand,2023-09-02,1963.9,7.0,346.45,280.557,0.176
Paid Search Non Brand,2023-09-03,2539.91,12.0,744.87,211.659,0.293
Paid Search Non Brand,2023-09-04,2126.65,5.0,161.35,425.33,0.076
Paid Search Non Brand,2023-09-05,1687.89,4.0,290.53,421.972,0.172
Paid Search Non Brand,2023-09-06,1682.78,3.0,165.45,560.927,0.098
Paid Search Non Brand,2023-09-07,1523.43,1.0,93.18,1523.43,0.061
Performance Max,2023-08-29,11782.18,5.816,441.804,2025.822,0.037
Performance Max,2023-08-30,12769.34,7.294,340.886,1750.664,0.027
Performance Max,2023-08-31,12153.62,11.638,408.56,1044.305,0.034
Performance Max,2023-09-01,11656.0,71.493,3964.003,163.037,0.34
Performance Max,2023-09-02,12676.13,93.168,4549.35,136.057,0.359
Performance Max,2023-09-03,14880.34,103.062,4151.85,144.382,0.279
Performance Max,2023-09-04,14203.39,115.661,4177.343,122.802,0.294
Performance Max,2023-09-05,14149.44,89.899,3440.622,157.393,0.243
Performance Max,2023-09-06,13385.69,83.479,2972.228,160.348,0.222
Performance Max,2023-09-07,12339.06,61.49,2036.094,200.668,0.165
Pinterest Ads,2023-09-03,0.0,0.0,0.0,0.0,0.0
Referral,2023-08-29,0.0,1.0,26.69,0.0,0.0
Referral,2023-08-30,0.0,0.0,0.0,0.0,0.0
Referral,2023-08-31,0.92,4.0,890.43,0.23,967.859
Referral,2023-09-01,0.0,9.0,1332.37,0.0,0.0
Referral,2023-09-02,0.0,10.302,700.941,0.0,0.0
Referral,2023-09-03,0.0,17.496,1017.151,0.0,0.0
Referral,2023-09-04,1.21,20.698,1846.949,0.058,1526.404
Referral,2023-09-05,0.0,8.504,414.619,0.0,0.0
Referral,2023-09-06,0.0,18.0,880.87,0.0,0.0
Referral,2023-09-07,0.51,6.0,372.54,0.085,730.471
Social Organic,2023-08-29,114.46,0.0,0.0,0.0,0.0
Social Organic,2023-08-30,170.52,0.0,0.0,0.0,0.0
Social Organic,2023-08-31,176.83,0.0,0.0,0.0,0.0
Social Organic,2023-09-01,293.52,1.0,14.12,293.52,0.048
Social Organic,2023-09-02,342.46,2.953,138.085,115.97,0.403
Social Organic,2023-09-03,378.31,1.483,78.443,255.098,0.207
Social Organic,2023-09-04,352.58,4.076,196.236,86.501,0.557
Social Organic,2023-09-05,179.99,2.488,73.697,72.343,0.409
Social Organic,2023-09-06,172.98,2.0,148.97,86.49,0.861
Social Organic,2023-09-07,174.43,5.0,390.87,34.886,2.241
TikTok Ads,2023-08-29,1139.15,0.0,0.0,0.0,0.0
TikTok Ads,2023-08-30,1111.45,0.0,0.0,0.0,0.0
TikTok Ads,2023-08-31,1118.76,0.0,0.0,0.0,0.0
TikTok Ads,2023-09-01,1096.88,3.0,29.22,365.627,0.027
TikTok Ads,2023-09-02,1104.62,1.0,18.33,1104.62,0.017
TikTok Ads,2023-09-03,1112.13,3.0,36.82,370.71,0.033
TikTok Ads,2023-09-04,1065.66,0.0,0.0,0.0,0.0
TikTok Ads,2023-09-05,1064.38,2.0,17.49,532.19,0.016
TikTok Ads,2023-09-06,1062.47,2.0,71.9,531.235,0.068
TikTok Ads,2023-09-07,965.4,0.0,0.0,0.0,0.0
Untracked Conversions,2023-08-29,0.0,0.0,0.0,0.0,0.0
Untracked Conversions,2023-08-30,0.0,0.0,0.0,0.0,0.0
Untracked Conversions,2023-08-31,0.0,0.0,0.0,0.0,0.0
Untracked Conversions,2023-09-01,0.0,9.0,718.59,0.0,0.0
Untracked Conversions,2023-09-02,0.0,3.0,105.53,0.0,0.0
Untracked Conversions,2023-09-03,0.0,9.0,497.9,0.0,0.0
Untracked Conversions,2023-09-04,0.0,12.0,645.55,0.0,0.0
Untracked Conversions,2023-09-05,0.0,3.0,107.66,0.0,0.0
Untracked Conversions,2023-09-06,0.0,6.0,196.98,0.0,0.0
Untracked Conversions,2023-09-07,0.0,10.0,818.15,0.0,0.0
YouTube Ads,2023-08-29,0.0,0.0,0.0,0.0,0.0
YouTube Ads,2023-08-30,0.0,0.0,0.0,0.0,0.0
YouTube Ads,2023-08-31,0.0,0.0,0.0,0.0,0.0
YouTube Ads,2023-09-01,0.0,0.0,0.0,0.0,0.0
YouTube Ads,2023-09-02,0.0,0.0,0.0,0.0,0.0
YouTube Ads,2023-09-03,0.0,0.0,0.0,0.0,0.0
YouTube Ads,2023-09-05,0.0,0.0,0.0,0.0,0.0
YouTube Ads,2023-09-06,0.0,0.0,0.0,0.0,0.0
YouTube Ads,2023-09-07,0.0,0.0,0.0,0.0,0.0
